Ref,Val,Package,PosX,PosY,Rot,Side
"A1","PinSocket_2x08_P2.54mm_Vertical","PinSocket_2x08_P2.54mm_Vertical",10.000000,-20.000000,0.000000,top
"A2","PinSocket_2x08_P2.54mm_Vertical","PinSocket_2x08_P2.54mm_Vertical",80.000000,-20.000000,0.000000,top
"BK1","PinSocket_1x04_P2.54mm_Vertical","PinSocket_1x04_P2.54mm_Vertical",36.000000,-56.000000,0.000000,top
"C1","CP_Radial_D10.0mm_P5.00mm","CP_Radial_D10.0mm_P5.00mm",52.000000,-47.000000,0.000000,top
"C2","C_0805_2012Metric","C_0805_2012Metric",24.000000,-42.000000,0.000000,top
"C3","C_0805_2012Metric","C_0805_2012Metric",88.000000,-42.000000,0.000000,top
"C5","C_0805_2012Metric","C_0805_2012Metric",84.000000,-52.000000,0.000000,top
"C6","CP_Radial_D8.0mm_P3.50mm","CP_Radial_D8.0mm_P3.50mm",46.000000,-67.000000,0.000000,top
"C7","C_0805_2012Metric","C_0805_2012Metric",18.000000,-34.000000,0.000000,top
"C8","C_0805_2012Metric","C_0805_2012Metric",72.000000,-34.000000,0.000000,top
"D1","D_SOD-323","D_SOD-323",30.000000,-68.000000,0.000000,top
"F1","Fuse_1206_3216Metric","Fuse_1206_3216Metric",16.000000,-66.000000,0.000000,top
"J1","TerminalBlock_MaiXu_MX126-5.0-02P_1x02_P5.00mm","TerminalBlock_MaiXu_MX126-5.0-02P_1x02_P5.00mm",6.000000,-60.000000,0.000000,top
"J2","TerminalBlock_MaiXu_MX126-5.0-04P_1x04_P5.00mm","TerminalBlock_MaiXu_MX126-5.0-04P_1x04_P5.00mm",6.000000,-6.000000,0.000000,top
"J3","TerminalBlock_MaiXu_MX126-5.0-04P_1x04_P5.00mm","TerminalBlock_MaiXu_MX126-5.0-04P_1x04_P5.00mm",72.000000,-6.000000,0.000000,top
"J4","TerminalBlock_MaiXu_MX126-5.0-03P_1x03_P5.00mm","TerminalBlock_MaiXu_MX126-5.0-03P_1x03_P5.00mm",66.000000,-60.000000,0.000000,top
"J5","TerminalBlock_MaiXu_MX126-5.0-03P_1x03_P5.00mm","TerminalBlock_MaiXu_MX126-5.0-03P_1x03_P5.00mm",40.000000,-6.000000,0.000000,top
"Q1","SOT-23","SOT-23",24.000000,-66.000000,0.000000,top
"R1","R_0805_2012Metric","R_0805_2012Metric",64.000000,-47.000000,0.000000,top
"R2","R_0805_2012Metric","R_0805_2012Metric",30.000000,-64.000000,0.000000,top
"R3","R_0805_2012Metric","R_0805_2012Metric",60.000000,-66.000000,0.000000,top
"R4","R_0805_2012Metric","R_0805_2012Metric",52.000000,-64.000000,0.000000,top
"U1L","PinSocket_1x15_P2.54mm_Vertical","PinSocket_1x15_P2.54mm_Vertical",30.000000,-12.000000,0.000000,top
"U1R","PinSocket_1x15_P2.54mm_Vertical","PinSocket_1x15_P2.54mm_Vertical",55.400000,-12.000000,0.000000,top
"U2","SOT-23-5","SOT-23-5",78.000000,-50.000000,0.000000,top
